"gene1","gene2","pValue","oddsRatio","00","11","01","10","pAdj","Event","pair","event_ratio"
"FAT3","NCOR1",0.0207634882280428,3.20771919821745,825,6,44,35,0.0859415903478594,"Co_Occurence","FAT3, NCOR1","6/79"
"NF1","PTEN",0.0215249061039034,3.18118814517449,824,6,47,33,0.0879285380061415,"Co_Occurence","NF1, PTEN","6/80"
"NF1","KMT2C",0.0228755356392571,2.6570292763658,794,8,77,31,0.0922400630615206,"Co_Occurence","KMT2C, NF1","8/108"
"ARID1A","FAT1",0.023512348703386,4.27504427535955,849,4,24,33,0.0924227543372091,"Co_Occurence","ARID1A, FAT1","4/57"
"ARID1A","MYH9",0.023512348703386,4.27504427535955,849,4,24,33,0.0924227543372091,"Co_Occurence","ARID1A, MYH9","4/57"
"NF1","FAT3",0.0267425663328731,3.40331742194391,835,5,36,34,0.103814310298421,"Co_Occurence","FAT3, NF1","5/70"
"MAP3K1","KMT2C",0.0276521132530084,2.12451935255032,755,14,71,70,0.106028041614296,"Co_Occurence","KMT2C, MAP3K1","14/141"
"FOXA1","PIK3CA",0.028901193785767,2.33937107470301,562,16,320,12,0.109095857309594,"Co_Occurence","FOXA1, PIK3CA","16/332"
"FAT3","BIRC6",0.029317235939086,3.96575847584372,846,4,23,37,0.109095857309594,"Co_Occurence","BIRC6, FAT3","4/60"
"PIK3R1","PTEN",0.0294995198165141,3.32214941625522,831,5,48,26,0.109095857309594,"Co_Occurence","PIK3R1, PTEN","5/74"
"AKAP9","MAP2K4",0.031555692272117,3.85738099589052,846,4,35,25,0.115335132573527,"Co_Occurence","AKAP9, MAP2K4","4/60"
"TP53","FAT3",0.0322541370449363,1.99482006592205,550,22,19,319,0.116525061578527,"Co_Occurence","FAT3, TP53","22/338"
"KMT2C","AKT1",0.0330626980963555,2.90265031165296,804,6,21,79,0.116890024992134,"Co_Occurence","AKT1, KMT2C","6/100"
"FAT3","LRP1B",0.0331032550777724,3.79671409298894,845,4,24,37,0.116890024992134,"Co_Occurence","FAT3, LRP1B","4/61"
"KMT2D","TBX3",0.0338914407024529,3.75476839510634,846,4,31,29,0.118336035972252,"Co_Occurence","KMT2D, TBX3","4/60"
"SPEN","CSMD3",0.0400611749047935,3.53760806742134,844,4,34,28,0.138332786273458,"Co_Occurence","CSMD3, SPEN","4/62"
"CDH1","PTEN",0.0416581328331149,2.03344440356097,739,13,40,118,0.142275043828944,"Co_Occurence","CDH1, PTEN","13/158"
"SPEN","NF1",0.0435473797423947,3.43291374804495,843,4,35,28,0.147119526156739,"Co_Occurence","NF1, SPEN","4/63"
"KMT2D","CSMD3",0.0442399107324421,3.41208084584757,843,4,34,29,0.147860664212708,"Co_Occurence","CSMD3, KMT2D","4/63"
"KMT2C","PIK3CA",0.0452557099931998,1.58782235227433,529,40,296,45,0.149655125638888,"Co_Occurence","KMT2C, PIK3CA","40/341"
"KMT2D","NF1",0.0480488311777028,3.310945334704,842,4,35,29,0.157227850712378,"Co_Occurence","KMT2D, NF1","4/64"
"FOXA1","FAT1",0.0510562719360446,4.10159835206619,857,3,25,25,0.16198055817273,"Co_Occurence","FAT1, FOXA1","3/50"
"LRP1B","FAT1",0.0510562719360446,4.10159835206619,857,3,25,25,0.16198055817273,"Co_Occurence","FAT1, LRP1B","3/50"
"MYH9","FOXA1",0.0510562719360446,4.10159835206619,857,3,25,25,0.16198055817273,"Co_Occurence","FOXA1, MYH9","3/50"
"GATA3","CDH1",0.0554199538141702,0.535062050976032,665,11,120,114,0.172470050999031,"Mutually_Exclusive","CDH1, GATA3","11/234"
"BIRC6","NCOR1",0.0554663684012884,3.15798669081215,837,4,46,23,0.172470050999031,"Co_Occurence","BIRC6, NCOR1","4/69"
"CSMD3","TP53",0.059173016169698,1.90586642526674,551,20,321,18,0.182182931556952,"Co_Occurence","CSMD3, TP53","20/339"
"BIRC6","PIK3R1",0.0601788863843545,3.80697921040776,855,3,28,24,0.183472214586447,"Co_Occurence","BIRC6, PIK3R1","3/52"
"SPEN","TP53",0.0656650119059331,0.456396950374442,544,7,334,25,0.195119473946543,"Mutually_Exclusive","SPEN, TP53","7/359"
"PIK3R1","FAT1",0.0658723344043528,3.65112619739444,854,3,25,28,0.195119473946543,"Co_Occurence","FAT1, PIK3R1","3/53"
"PIK3R1","MYH9",0.0658723344043528,3.65112619739444,854,3,25,28,0.195119473946543,"Co_Occurence","MYH9, PIK3R1","3/53"
"MAP3K1","GATA3",0.0678898672122466,0.457334179087228,707,6,119,78,0.19770779711104,"Mutually_Exclusive","GATA3, MAP3K1","6/197"
"SPEN","GATA3",0.0680114822061977,2.16573915158357,761,8,117,24,0.19770779711104,"Co_Occurence","GATA3, SPEN","8/141"
"BIRC6","KMT2D",0.0702247861298231,3.54533824210565,853,3,30,24,0.202260328714928,"Co_Occurence","BIRC6, KMT2D","3/54"
"AKAP9","PIK3R1",0.0718090921687956,3.50654282754222,853,3,28,26,0.204934623769394,"Co_Occurence","AKAP9, PIK3R1","3/54"
"NF1","CSMD3",0.0743184973066751,2.80851136801626,837,4,34,35,0.210176745776796,"Co_Occurence","CSMD3, NF1","4/69"
"TBX3","TP53",0.0760000197219639,0.482606963765044,542,8,333,27,0.213004539579495,"Mutually_Exclusive","TBX3, TP53","8/360"
"FAT1","KMT2D",0.0767477284229291,3.40011767406706,852,3,30,25,0.213188134508136,"Co_Occurence","FAT1, KMT2D","3/55"
"AKAP9","PTEN",0.0823986517236598,2.71203176053452,832,4,49,25,0.226868534481442,"Co_Occurence","AKAP9, PTEN","4/74"
"TBX3","FOXA1",0.0883793835314678,3.18073829179283,850,3,25,32,0.239121708689036,"Co_Occurence","FOXA1, TBX3","3/57"
"TBX3","LRP1B",0.0883793835314678,3.18073829179283,850,3,25,32,0.239121708689036,"Co_Occurence","LRP1B, TBX3","3/57"
"ARID1A","BIRC6",0.0924539764595107,3.11489946615821,849,3,24,34,0.247998863893538,"Co_Occurence","ARID1A, BIRC6","3/58"
"KMT2C","BIRC6",0.0985972524661146,2.27843376831242,803,5,22,80,0.26222673528222,"Co_Occurence","BIRC6, KMT2C","5/102"
"TP53","KMT2D",0.100436535106886,1.8121393370682,553,17,16,324,0.263407353007965,"Co_Occurence","KMT2D, TP53","17/340"
"ARID1A","LRP1B",0.100726971790246,2.98712455433557,848,3,25,34,0.263407353007965,"Co_Occurence","ARID1A, LRP1B","3/59"
"MAP2K4","AKT1",0.104566331042399,2.93540096396755,847,3,24,36,0.268832425140029,"Co_Occurence","AKT1, MAP2K4","3/60"
"PIK3R1","MAP3K1",0.104938894577049,0,795,0,84,31,0.268832425140029,"Mutually_Exclusive","MAP3K1, PIK3R1","0/115"
"KMT2D","SPEN",0.105382310654891,2.91862967402055,848,3,29,30,0.268832425140029,"Co_Occurence","KMT2D, SPEN","3/59"
"FOXA1","CSMD3",0.107155837806707,2.89859231063048,847,3,35,25,0.271143314288226,"Co_Occurence","CSMD3, FOXA1","3/60"
"PIK3R1","CDH1",0.111736100086585,0.192249750514552,749,1,130,30,0.280462098610906,"Mutually_Exclusive","CDH1, PIK3R1","1/160"
"FAT1","NF1",0.113747309570399,2.81496655339802,846,3,36,25,0.280996318108693,"Co_Occurence","FAT1, NF1","3/61"
"FOXA1","NF1",0.113747309570399,2.81496655339802,846,3,36,25,0.280996318108693,"Co_Occurence","FOXA1, NF1","3/61"
"CSMD3","AKAP9",0.116179014224194,2.78410899082707,846,3,26,35,0.284752485843613,"Co_Occurence","AKAP9, CSMD3","3/61"
"SPEN","CDH1",0.117154591010022,2.04408852932745,755,8,123,24,0.284909024829821,"Co_Occurence","CDH1, SPEN","8/147"
"PTEN","KMT2D",0.119700296544661,2.3276944165475,828,4,29,49,0.288803887545653,"Co_Occurence","KMT2D, PTEN","4/78"
"TBX3","SPEN",0.120604503439065,2.73023894154078,846,3,29,32,0.288803887545653,"Co_Occurence","SPEN, TBX3","3/61"
"AKAP9","NF1",0.1232309577202,2.70377827057671,845,3,36,26,0.292849234125952,"Co_Occurence","AKAP9, NF1","3/62"
"PIK3CA","NF1",0.128713777852654,1.65920279912535,554,19,20,317,0.303424409667378,"Co_Occurence","NF1, PIK3CA","19/337"
"TP53","PIK3R1",0.129622907809904,1.81692257596871,554,16,15,325,0.303424409667378,"Co_Occurence","PIK3R1, TP53","16/340"
"TP53","RUNX1",0.131591127735052,0.543134192708146,539,10,30,331,0.305741467785901,"Mutually_Exclusive","RUNX1, TP53","10/361"
"AKAP9","FAT3",0.137806136240485,2.55568379740133,843,3,38,26,0.317818579890417,"Co_Occurence","AKAP9, FAT3","3/64"
"ARID1A","NCOR1",0.139792657856519,2.17660374308187,827,4,46,33,0.319796978285492,"Co_Occurence","ARID1A, NCOR1","4/79"
"TBX3","PTEN",0.140710670445616,2.17256096759048,826,4,49,31,0.319796978285492,"Co_Occurence","PTEN, TBX3","4/80"
"PIK3R1","NF1",0.143040397490499,2.50512466680151,843,3,36,28,0.321203937404453,"Co_Occurence","NF1, PIK3R1","3/64"
"PTEN","KMT2C",0.143385437657347,1.79939139061714,780,8,77,45,0.321203937404453,"Co_Occurence","KMT2C, PTEN","8/122"
"ARID1A","GATA3",0.148697816429571,1.78112982290056,756,8,117,29,0.329287269157975,"Co_Occurence","ARID1A, GATA3","8/146"
"CSMD3","GATA3",0.150066271427934,0.338578343974004,749,2,123,36,0.329287269157975,"Mutually_Exclusive","CSMD3, GATA3","2/159"
"CSMD3","NCOR1",0.150154994736037,2.11017805340073,826,4,46,34,0.329287269157975,"Co_Occurence","CSMD3, NCOR1","4/80"
"PIK3R1","FAT3",0.159475265008286,2.36791456703544,841,3,38,28,0.34538668444824,"Co_Occurence","FAT3, PIK3R1","3/66"
"MAP2K4","NCOR1",0.160812040279101,2.04752795263586,825,4,46,35,0.34538668444824,"Co_Occurence","MAP2K4, NCOR1","4/81"
"NF1","NCOR1",0.160812040279101,2.04752795263586,825,4,46,35,0.34538668444824,"Co_Occurence","NCOR1, NF1","4/81"
"SPEN","RUNX1",0.16193792083462,2.34804083563035,841,3,37,29,0.345430718503883,"Co_Occurence","RUNX1, SPEN","3/66"
"MYH9","PIK3CA",0.165203248937548,1.73793570384685,560,14,322,14,0.350006883342263,"Co_Occurence","MYH9, PIK3CA","14/336"
"NCOR1","PIK3CA",0.177558996140348,1.48796167814503,547,23,313,27,0.373651086153932,"Co_Occurence","NCOR1, PIK3CA","23/340"
"FAT3","KMT2D",0.182142793339418,2.20506521962231,839,3,30,38,0.380733263669351,"Co_Occurence","FAT3, KMT2D","3/68"
"PIK3CA","FAT3",0.188511603229974,0.614051056324353,544,11,30,325,0.391427747570545,"Mutually_Exclusive","FAT3, PIK3CA","11/355"
"KMT2C","TP53",0.19565186464704,0.71373393355648,510,26,315,59,0.403572328067328,"Mutually_Exclusive","KMT2C, TP53","26/374"
"PIK3R1","KMT2C",0.200326689503722,1.91897874862014,799,5,80,26,0.41050551127812,"Co_Occurence","KMT2C, PIK3R1","5/106"
"PTEN","NCOR1",0.20498930801715,1.87801347138882,812,5,45,48,0.417323509806903,"Co_Occurence","NCOR1, PTEN","5/93"
"ARID1A","MAP2K4",0.207999838014205,2.04927795651802,837,3,36,34,0.42071164646886,"Co_Occurence","ARID1A, MAP2K4","3/70"
"CDH1","KMT2D",0.21062184006262,0.374380573517523,748,2,31,129,0.423275402055104,"Mutually_Exclusive","CDH1, KMT2D","2/160"
"FOXA1","PTEN",0.219788864303572,1.99478523980215,832,3,50,25,0.433337666213667,"Co_Occurence","FOXA1, PTEN","3/75"
"LRP1B","PTEN",0.219788864303572,1.99478523980215,832,3,50,25,0.433337666213667,"Co_Occurence","LRP1B, PTEN","3/75"
"MYH9","PTEN",0.219788864303572,1.99478523980215,832,3,50,25,0.433337666213667,"Co_Occurence","MYH9, PTEN","3/75"
"FOXA1","AKAP9",0.223179148018931,2.43231832163001,855,2,27,26,0.436782777768744,"Co_Occurence","AKAP9, FOXA1","2/53"
"KMT2D","KMT2C",0.224331634662027,1.77762182731961,797,5,80,28,0.436782777768744,"Co_Occurence","KMT2C, KMT2D","5/108"
"CSMD3","PIK3CA",0.22872353683285,0.598473400441536,546,10,326,28,0.442024121653562,"Mutually_Exclusive","CSMD3, PIK3CA","10/354"
"ARID1A","FAT3",0.229852543259852,1.9370072282328,835,3,38,34,0.442024121653562,"Co_Occurence","ARID1A, FAT3","3/72"
"FAT1","TP53",0.23343977566205,0.547238142360119,548,7,334,21,0.446176941250096,"Mutually_Exclusive","FAT1, TP53","7/355"
"PIK3R1","LRP1B",0.246431656757404,2.25975886013827,853,2,26,29,0.468145244599932,"Co_Occurence","LRP1B, PIK3R1","2/55"
"MAP2K4","KMT2C",0.252086821781106,1.8212330973849,792,6,79,33,0.473380399302802,"Co_Occurence","KMT2C, MAP2K4","6/112"
"FAT3","MAP2K4",0.252217076748533,0,830,0,39,41,0.473380399302802,"Mutually_Exclusive","FAT3, MAP2K4","0/80"
"RUNX1","KMT2C",0.257584197095404,1.76557797121566,791,6,79,34,0.479485776530501,"Co_Occurence","KMT2C, RUNX1","6/113"
"LRP1B","GATA3",0.258538730705246,1.7473712990325,763,6,119,22,0.479485776530501,"Co_Occurence","GATA3, LRP1B","6/141"
"BIRC6","CDH1",0.260783025181082,1.73132034599493,758,6,125,21,0.480794662944474,"Co_Occurence","BIRC6, CDH1","6/146"
"TBX3","AKT1",0.278596356769817,2.05823180991705,850,2,25,33,0.510623821059049,"Co_Occurence","AKT1, TBX3","2/58"
"KMT2D","AKAP9",0.283612417577259,2.02890438176807,850,2,27,31,0.516786475177221,"Co_Occurence","AKAP9, KMT2D","2/58"
"FAT1","TBX3",0.293228431634305,1.97702285476906,849,2,33,26,0.531210926873741,"Co_Occurence","FAT1, TBX3","2/59"
"PIK3R1","GATA3",0.296813217942847,0.424180482154442,756,2,123,29,0.534605940098788,"Mutually_Exclusive","GATA3, PIK3R1","2/152"
"NCOR1","MAP3K1",0.309598755431076,0.395612041081923,778,2,82,48,0.550058276944619,"Mutually_Exclusive","MAP3K1, NCOR1","2/130"
"PIK3R1","KMT2D",0.311162357299739,1.8848413958496,848,2,31,29,0.550058276944619,"Co_Occurence","KMT2D, PIK3R1","2/60"
"TBX3","GATA3",0.311529577887391,1.6028370521255,757,7,118,28,0.550058276944619,"Co_Occurence","GATA3, TBX3","7/146"
"CSMD3","BIRC6",0.312433101304543,1.88054662299166,847,2,25,36,0.550058276944619,"Co_Occurence","BIRC6, CSMD3","2/61"
"ARID1A","FOXA1",0.316588511496807,1.85993644254653,847,2,26,35,0.550175803358819,"Co_Occurence","ARID1A, FOXA1","2/61"
"LRP1B","MAP3K1",0.317781544020054,1.66968328054647,802,4,80,24,0.550175803358819,"Co_Occurence","LRP1B, MAP3K1","4/104"
"MYH9","MAP3K1",0.317781544020054,1.66968328054647,802,4,80,24,0.550175803358819,"Co_Occurence","MAP3K1, MYH9","4/104"
"LRP1B","PIK3CA",0.322100506414481,1.4991399100457,559,13,323,15,0.552513687757751,"Co_Occurence","LRP1B, PIK3CA","13/338"
"KMT2C","LRP1B",0.322667993650527,1.64704881619221,801,4,24,81,0.552513687757751,"Co_Occurence","KMT2C, LRP1B","4/105"
"MYH9","CSMD3",0.328223660035146,1.80610690435165,846,2,36,26,0.558963998697456,"Co_Occurence","CSMD3, MYH9","2/62"
"KMT2C","CDH1",0.334205490684802,0.682639208168459,703,9,122,76,0.566066210509489,"Mutually_Exclusive","CDH1, KMT2C","9/198"
"GATA3","FAT3",0.349628357824072,0.483696350616531,747,3,38,122,0.585600339271877,"Mutually_Exclusive","FAT3, GATA3","3/160"
"RUNX1","LRP1B",0.351360203563126,1.70723039289361,844,2,26,38,0.585600339271877,"Co_Occurence","LRP1B, RUNX1","2/64"
