"gene1","gene2","pValue","oddsRatio","00","11","01","10","pAdj","Event","pair","event_ratio"
"PTEN","HMCN1",0.0028384910802443,3.62465465872563,888,9,50,44,0.0125819640081751,"Co_Occurence","HMCN1, PTEN","9/94"
"ZFHX4","RYR2",0.00310904018277589,3.90588807910455,897,8,47,39,0.0135884623373072,"Co_Occurence","RYR2, ZFHX4","8/86"
"HMCN1","DMD",0.00318002178465345,3.89525030800822,896,8,36,51,0.0137069904510925,"Co_Occurence","DMD, HMCN1","8/87"
"GATA3","PIK3CA",0.00333118572419893,0.523276647381095,558,28,308,97,0.0141632046096893,"Mutually_Exclusive","GATA3, PIK3CA","28/405"
"ZFHX4","FLG",0.00349712919833639,3.82056629300528,896,8,48,39,0.0146691661004043,"Co_Occurence","FLG, ZFHX4","8/87"
"SYNE2","CDH1",0.00360542923649935,2.99174915070566,832,12,119,28,0.0149231342570338,"Co_Occurence","CDH1, SYNE2","12/147"
"SPTA1","MUC16",0.00383847474609184,3.0554528897538,857,11,88,35,0.015680043897434,"Co_Occurence","MUC16, SPTA1","11/123"
"LRP2","MUC16",0.00414198479004168,3.22276826438642,862,10,89,30,0.0167015515727487,"Co_Occurence","LRP2, MUC16","10/119"
"ZFHX4","TTN",0.00425426453567216,2.66487702265753,791,16,153,31,0.016734594043073,"Co_Occurence","TTN, ZFHX4","16/184"
"HMCN1","SPTA1",0.00425728072455777,3.68193604206052,894,8,38,51,0.016734594043073,"Co_Occurence","HMCN1, SPTA1","8/89"
"PTEN","FAT3",0.0045784715544331,4.03615984277985,904,7,34,46,0.017574618998135,"Co_Occurence","FAT3, PTEN","7/80"
"NF1","NEB",0.00460908538333399,4.61322764255956,916,6,36,33,0.017574618998135,"Co_Occurence","NEB, NF1","6/69"
"LRP2","FAT3",0.00463969941550762,4.60531829242693,916,6,35,34,0.017574618998135,"Co_Occurence","FAT3, LRP2","6/69"
"USH2A","MUC17",0.00484142239835124,3.98534701448677,904,7,36,44,0.0181190958022128,"Co_Occurence","MUC17, USH2A","7/80"
"FLG","TTN",0.0050641686079167,2.45654519782979,784,18,151,38,0.0187284342008754,"Co_Occurence","FLG, TTN","18/189"
"PTEN","NEB",0.00526871379198725,3.9169134683649,903,7,35,46,0.019089794194539,"Co_Occurence","NEB, PTEN","7/81"
"HMCN1","MUC16",0.00528405503304838,2.77605782944928,846,13,86,46,0.019089794194539,"Co_Occurence","HMCN1, MUC16","13/132"
"NF1","DMD",0.00584899085650597,4.3612260947486,914,6,38,33,0.0206777258144004,"Co_Occurence","DMD, NF1","6/71"
